RCEPT_DE,LANG_FLAG_NM,CNSLT_LCLAS_NM,CNSLT_MLSFC_NM,CNSLT_SCLAS_NM,CNSLT_KWRD_RN1_NM,CNSLT_KWRD_RN2_NM,CNSLT_KWRD_RN3_NM,CNSLT_KWRD_RN4_NM,CNSLT_KWRD_RN5_NM,CNSLT_TY_NM,TOUR_PURPS_NM,COURS_NM,CSTMR_INCLN_NM,CHNNEL_FLAG_NM,TALK_FLAG_NM,STATE_NM,UPDT_DE
20220201,한국어,교통,항공&배편,도내배편,종달리항,운항,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220201
20220201,한국어,교통,항공&배편,도내배편,성산,성산항,운항,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220201
20220202,한국어,교통,항공&배편,도내배편,우도,운항,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220202
20220202,한국어,교통,항공&배편,도내배편,성산,성산항,운항,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220202
20220202,한국어,교통,항공&배편,도내배편,종달리항,운항,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220202
20220202,한국어,교통,항공&배편,도내배편,성산,성산항,운항,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220202
20220203,한국어,교통,항공&배편,도내배편,성산,성산항,운항,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220203
20220203,한국어,교통,항공&배편,도내배편,종달리항,운항,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220203
20220203,한국어,교통,택시,콜택시안내,연락처,영실,문자,탐방,한라산,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220203
20220203,한국어,교통,항공&배편,도내배편,우도,유선,이용,운항,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220203
20220203,한국어,교통,항공&배편,도내배편,우도,이용,운항,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220203
20220203,한국어,교통,항공&배편,도내배편,이용시간,이용,차귀도,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220203
20220204,한국어,교통,항공&배편,도내배편,성산,성산항,운항,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220204
20220204,한국어,교통,항공&배편,도내배편,종달리항,운항,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220204
20220204,한국어,교통,항공&배편,입도배편,제주,문의처,제주항,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220204
20220204,한국어,교통,항공&배편,도내배편,성산,우도,성산항,운항,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220204
20220204,영어,교통,항공&배편,입도배편,선사,제주,추자도,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220204
20220204,영어,교통,항공&배편,입도배편,선사,제주,추자도,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220204
20220204,한국어,교통,항공&배편,입도배편,제주,시간표,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220204
20220204,한국어,교통,항공&배편,도내배편,사전예약,자전거,마라도,선사,문자,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220204
20220205,한국어,교통,항공&배편,도내배편,우도,운항,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220205
20220205,한국어,교통,항공&배편,도내배편,우도,운항,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220205
20220205,한국어,교통,항공&배편,도내배편,우도,운항,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220205
20220205,한국어,교통,위치안내,기타,1100,통제,도로,체인,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220205
20220205,한국어,교통,항공&배편,도내배편,우도,운항,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220205
