RCEPT_DE,LANG_FLAG_NM,CNSLT_LCLAS_NM,CNSLT_MLSFC_NM,CNSLT_SCLAS_NM,CNSLT_KWRD_RN1_NM,CNSLT_KWRD_RN2_NM,CNSLT_KWRD_RN3_NM,CNSLT_KWRD_RN4_NM,CNSLT_KWRD_RN5_NM,CNSLT_TY_NM,TOUR_PURPS_NM,COURS_NM,CSTMR_INCLN_NM,CHNNEL_FLAG_NM,TALK_FLAG_NM,STATE_NM,UPDT_DE
20211221,한국어,관광지,자연,습지,이용,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20211221
20211222,한국어,관광지,자연,습지,이용,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20211222
20211230,한국어,관광지,자연,습지,코지,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20211230
20211227,한국어,관광지,자연,습지,동백동산,이용,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20211227
20211230,한국어,관광지,자연,습지,오름,물영아리,제주,통제,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211230
20211205,한국어,관광지,자연,산,1100,고지,통제,1100고지,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211205
20211210,한국어,관광지,자연,산,동반,이용,통제,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20211210
20211214,한국어,관광지,자연,산,영실,매표소,이용,영실코스,택시,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211214
20211221,한국어,관광지,자연,산,안내소,탐방,어승생악,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211221
20211223,한국어,관광지,자연,산,국립공원,영실,문자,안전,한라산,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211223
20211228,한국어,관광지,자연,산,1100,고지,통제,1100고지,결빙,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211228
20211202,한국어,관광지,자연,산,탐방,한라산,한라,문의처,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20211202
20211229,한국어,관광지,자연,산,1100,한라산,한라,이용,도로,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211229
20211218,한국어,관광지,자연,산,1100,고지,오름,판매,1100고지,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211218
20211230,한국어,관광지,자연,산,성산,일출봉,통제,성산일출봉,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20211230
20211231,한국어,관광지,자연,산,산방산,통제,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20211231
20211231,한국어,관광지,자연,산,안내소,탐방,한라산,한라,서귀포,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211231
20211231,한국어,관광지,자연,산,1100,고지,통제,1100고지,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20211231
20211218,한국어,관광지,자연,산,탐방,한라산,한라,어승생악,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211218
20211206,한국어,관광지,자연,산,안내소,대여,국립공원,영실,유선,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211206
20211206,한국어,관광지,자연,산,대여,영실,매점,가격,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20211206
20211224,한국어,관광지,자연,산,산방산,탐방,안덕,통제,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20211224
20211224,한국어,관광지,자연,산,사전예약,영실,탐방,비짓,동문시장,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211224
20211215,한국어,관광지,자연,산,인원,운영시간,오름,군산오름,성산,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20211216
20211201,한국어,관광지,자연,산,숲길,국립공원,한라산,한라,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211201
20211216,한국어,관광지,자연,산,오름,거문오름,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20211216
20211201,한국어,관광지,자연,산,1100,고지,국립공원,문자,안전,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211201
20211216,한국어,관광지,자연,산,통제,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20211216
20211201,한국어,관광지,자연,산,탐방,한라산,한라,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20211201
