RCEPT_DE,LANG_FLAG_NM,CNSLT_LCLAS_NM,CNSLT_MLSFC_NM,CNSLT_SCLAS_NM,CNSLT_KWRD_RN1_NM,CNSLT_KWRD_RN2_NM,CNSLT_KWRD_RN3_NM,CNSLT_KWRD_RN4_NM,CNSLT_KWRD_RN5_NM,CNSLT_TY_NM,TOUR_PURPS_NM,COURS_NM,CSTMR_INCLN_NM,CHNNEL_FLAG_NM,TALK_FLAG_NM,STATE_NM,UPDT_DE
20220202,한국어,음식,음식,카페,카페,,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220202
20220202,한국어,음식,음식,카페,연락처,카페,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220202
20220203,한국어,음식,음식,향토음식,연락처,해녀,산방산,매표소,유선,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220203
20220204,한국어,음식,음식,향토음식,해녀,김녕,이용시간,이용,김녕해녀촌,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220204
20220204,한국어,음식,음식,향토음식,해녀,도두,이용시간,이용,도두해녀의집,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220204
20220204,한국어,음식,음식,향토음식,해녀,이용,해녀촌,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220204
20220204,한국어,음식,음식,향토음식,해녀,이용,해녀촌,민경이네,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220204
20220207,한국어,음식,음식,카페,체험,커피,수목원,제주,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220207
20220207,한국어,음식,음식,향토음식,이용,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220207
20220207,한국어,음식,음식,향토음식,이용,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220207
20220207,한국어,음식,음식,향토음식,이용,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220207
20220207,한국어,음식,음식,향토음식,이용,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220207
20220208,한국어,음식,음식,향토음식,연락처,신라,중문,이용,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220208
20220208,한국어,음식,음식,향토음식,해녀,이용,해녀의집,강정,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220208
20220208,한국어,음식,음식,향토음식,해녀,이용,해녀의집,오조해녀의집,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220208
20220208,한국어,음식,음식,향토음식,해녀,이용,해녀의집,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220208
20220208,한국어,음식,음식,향토음식,해녀,코지,이용,해녀의집,섭지,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220208
20220208,한국어,음식,음식,향토음식,해녀,우도,이용,해녀의집,물꼬해녀의집,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220208
20220208,한국어,음식,음식,향토음식,해녀,매표소,판매,용머리해안,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220208
20220208,한국어,음식,음식,향토음식,해녀,용두암,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220208
20220208,한국어,음식,음식,향토음식,해녀,이용,해녀의집,시흥리,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220208
20220209,한국어,음식,음식,향토음식,함덕,이용,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220209
