RCEPT_DE,LANG_FLAG_NM,CNSLT_LCLAS_NM,CNSLT_MLSFC_NM,CNSLT_SCLAS_NM,CNSLT_KWRD_RN1_NM,CNSLT_KWRD_RN2_NM,CNSLT_KWRD_RN3_NM,CNSLT_KWRD_RN4_NM,CNSLT_KWRD_RN5_NM,CNSLT_TY_NM,TOUR_PURPS_NM,COURS_NM,CSTMR_INCLN_NM,CHNNEL_FLAG_NM,TALK_FLAG_NM,STATE_NM,UPDT_DE
20210127,한국어,음식,음식,카페,무료,커피,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20210127
20210127,한국어,음식,음식,카페,,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20210127
20210126,한국어,음식,음식,카페,김녕,금일 운영,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20210126
20210115,한국어,음식,음식,카페,인원,요금,올티스,시음,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20210115
20210119,한국어,음식,음식,일식,천제연,유선,문자,식당,인터넷,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20210119
20210120,한국어,음식,음식,카페,체험,커피,수목원,제주,이용시간,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20210120
20210105,한국어,음식,음식,향토음식,사전예약,식당,골목,골목식당,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20210105
20210127,한국어,음식,음식,일식,용두암,유선,문자,인터넷,제주,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20210127
20210119,한국어,음식,음식,향토음식,연락처,문자,대정,안덕,서귀포,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20210119
20210126,한국어,음식,음식,카페,게스트하우스,김녕,카페,이용,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20210126
