RCEPT_DE,LANG_FLAG_NM,CNSLT_LCLAS_NM,CNSLT_MLSFC_NM,CNSLT_SCLAS_NM,CNSLT_KWRD_RN1_NM,CNSLT_KWRD_RN2_NM,CNSLT_KWRD_RN3_NM,CNSLT_KWRD_RN4_NM,CNSLT_KWRD_RN5_NM,CNSLT_TY_NM,TOUR_PURPS_NM,COURS_NM,CSTMR_INCLN_NM,CHNNEL_FLAG_NM,TALK_FLAG_NM,STATE_NM,UPDT_DE
20230501,한국어,음식,음식,한식,식당,해수,함덕,주유소,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230501
20230502,한국어,음식,음식,향토음식,식당,이용시간,이용,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230502
20230502,한국어,음식,음식,향토음식,이용시간,이용,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230502
20230502,한국어,음식,음식,향토음식,,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230502
20230502,한국어,음식,음식,향토음식,,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230502
20230502,한국어,음식,음식,향토음식,한라,오메기떡,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230502
20230502,한국어,음식,음식,향토음식,,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230502
20230502,한국어,음식,음식,한식,제주,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230502
20230503,한국어,음식,음식,한식,식당,제주,흑돼지,제주공항,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230503
20230504,한국어,음식,음식,향토음식,외국어,이용시간,이용,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230504
20230504,한국어,음식,음식,한식,이용시간,이용,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230504
20230504,한국어,음식,음식,한식,외국어,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230504
20230504,한국어,음식,음식,향토음식,해녀,문자,호텔,신라,음식점,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230504
20230504,한국어,음식,음식,향토음식,식당,이용,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230504
20230504,한국어,음식,음식,한식,외국어,식당,이용시간,이용,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230504
20230504,한국어,음식,음식,한식,외국어,운영시간,외국인,음식점,이용,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230504
20230504,한국어,음식,음식,한식,이용시간,이용,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230504
20230504,한국어,음식,음식,한식,식당,이용시간,이용,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230504
20230504,한국어,음식,음식,향토음식,외국어,이용,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230504
20230504,한국어,음식,음식,한식,외국어,운영시간,이용시간,이용,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230504
20230504,한국어,음식,음식,향토음식,외국어,식당,이용시간,이용,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230504
20230504,한국어,음식,음식,한식,외국어,운영시간,문자,무료,마을,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230504
20230504,한국어,음식,음식,향토음식,외국어,식당,이용시간,이용,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230504
20230507,영어,음식,음식,일식,식당,해수,리조트,방문,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230507
20230507,한국어,음식,음식,한식,점심시간,사전예약,이용,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230507
20230507,한국어,음식,음식,한식,점심시간,사전예약,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230507
20230508,한국어,음식,음식,한식,외국어,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230508
20230508,한국어,음식,음식,한식,,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230508
