RCEPT_DE,LANG_FLAG_NM,CNSLT_LCLAS_NM,CNSLT_MLSFC_NM,CNSLT_SCLAS_NM,CNSLT_KWRD_RN1_NM,CNSLT_KWRD_RN2_NM,CNSLT_KWRD_RN3_NM,CNSLT_KWRD_RN4_NM,CNSLT_KWRD_RN5_NM,CNSLT_TY_NM,TOUR_PURPS_NM,COURS_NM,CSTMR_INCLN_NM,CHNNEL_FLAG_NM,TALK_FLAG_NM,STATE_NM,UPDT_DE
20230703,한국어,숙박,숙박,펜션/민박,이용요금,온라인,문자,숙소,요금,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230703
20230706,한국어,숙박,숙박,호텔,안내소,연락처,숙박,호텔,제주,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230706
20230707,한국어,숙박,숙박,펜션/민박,대여,유선,제주,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230707
20230708,한국어,숙박,숙박,호텔,온라인,호텔,보관,카드,제주,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230708
20230710,한국어,숙박,숙박,호텔,호텔,정원,신라,이용,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230710
20230710,한국어,숙박,숙박,호텔,호텔,정원,이용,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230710
20230710,한국어,숙박,숙박,호텔,호텔,투숙객,정원,롯데,이용,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230710
20230712,한국어,숙박,숙박,호텔,메일,무료,셔틀,투숙객,신화월드,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230712
20230713,한국어,숙박,숙박,모텔/여관,문자,숙소,호텔,모텔,인터넷,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230713
20230713,한국어,숙박,숙박,호텔,호텔,라마다,함덕,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230713
20230714,한국어,숙박,숙박,호텔,만장굴,국립공원,성산,천제연,숙박,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230714
20230714,영어,숙박,숙박,호텔,함덕,제주,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230714
20230717,한국어,숙박,숙박,펜션/민박,연락처,유선,숙박,문자,숙소,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230717
20230717,영어,숙박,숙박,호텔,호텔,함덕,제주,관광정보,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230717
20230719,한국어,숙박,숙박,기타,마라도,문자,숙소,탐나오,서귀포,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230719
20230719,한국어,숙박,숙박,펜션/민박,,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230719
20230719,한국어,숙박,숙박,펜션/민박,제주,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230719
20230719,한국어,숙박,숙박,펜션/민박,리조트,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230719
20230720,한국어,숙박,숙박,펜션/민박,온라인,유선,문자,숙소,코지,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230720
20230720,한국어,숙박,숙박,호텔,호텔,함덕,제주,관광정보,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230720
20230722,영어,숙박,숙박,호텔,호텔,함덕,제주,관광정보,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230722
20230722,한국어,숙박,숙박,호텔,점심시간,안내소,연락처,호텔,제주,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230722
20230722,한국어,숙박,숙박,호텔,안내소,호텔,인터넷,제주,관광안내소,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230722
20230723,한국어,숙박,숙박,리조트,메일,리조트,서귀포,주소,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230725
20230725,한국어,숙박,숙박,호텔,호텔,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230725
20230726,한국어,숙박,숙박,기타,연락처,문자,사우나,안덕,서귀포,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230726
20230727,한국어,숙박,숙박,펜션/민박,이용요금,온라인,문자,숙소,요금,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230727
20230728,한국어,숙박,숙박,펜션/민박,관광진흥,리조트,제주,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230728
20230729,한국어,숙박,숙박,리조트,운영시간,제주,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230729
