RCEPT_DE,LANG_FLAG_NM,CNSLT_LCLAS_NM,CNSLT_MLSFC_NM,CNSLT_SCLAS_NM,CNSLT_KWRD_RN1_NM,CNSLT_KWRD_RN2_NM,CNSLT_KWRD_RN3_NM,CNSLT_KWRD_RN4_NM,CNSLT_KWRD_RN5_NM,CNSLT_TY_NM,TOUR_PURPS_NM,COURS_NM,CSTMR_INCLN_NM,CHNNEL_FLAG_NM,TALK_FLAG_NM,STATE_NM,UPDT_DE
20230903,한국어,숙박,숙박,펜션/민박,연락처,비자림,유선,숙박,문자,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230903
20230904,한국어,숙박,숙박,펜션/민박,온라인,숙박,문자,리스트,숙소,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230904
20230904,한국어,숙박,숙박,게스트하우스,게스트하우스,이용,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230904
20230904,한국어,숙박,숙박,게스트하우스,게스트하우스,이용,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230904
20230904,한국어,숙박,숙박,게스트하우스,유선,이용,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230904
20230904,한국어,숙박,숙박,펜션/민박,연락처,문자,휴양,제주,관광정보,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230904
20230904,한국어,숙박,숙박,게스트하우스,이용,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230904
20230905,한국어,숙박,숙박,게스트하우스,사전예약,국립공원,성판악,숙박,문자,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230905
20230905,한국어,숙박,숙박,기타,소요시간,1100,성판악,용두암,문자,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230910
20230906,한국어,숙박,숙박,호텔,성판악,숙소,한라산,한라,제주,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230906
20230906,한국어,숙박,숙박,게스트하우스,코지,이용,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230906
20230906,한국어,숙박,숙박,게스트하우스,제주,이용,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230906
20230907,한국어,숙박,숙박,기타,동백동산,유스호스텔,이용,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230907
20230907,한국어,숙박,숙박,기타,숙박,수련원,성이시돌,젊음의집,젊음,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230907
20230907,한국어,숙박,숙박,기타,유스호스텔,제주,이용,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230907
20230908,한국어,숙박,숙박,기타,수련원,청소년,제주,이용,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230908
20230908,한국어,숙박,숙박,기타,수련원,부영,청소년,제주,이용,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230908
20230911,한국어,숙박,숙박,기타,이용,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230911
20230911,한국어,숙박,숙박,기타,수련원,청소년,제주,이용,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230911
20230911,한국어,숙박,숙박,기타,인원,수련원,안덕,청소년,이용,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230911
20230913,한국어,숙박,숙박,호텔,성판악,숙박,숙소,호텔,제주,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230913
