RCEPT_DE,LANG_FLAG_NM,CNSLT_LCLAS_NM,CNSLT_MLSFC_NM,CNSLT_SCLAS_NM,CNSLT_KWRD_RN1_NM,CNSLT_KWRD_RN2_NM,CNSLT_KWRD_RN3_NM,CNSLT_KWRD_RN4_NM,CNSLT_KWRD_RN5_NM,CNSLT_TY_NM,TOUR_PURPS_NM,COURS_NM,CSTMR_INCLN_NM,CHNNEL_FLAG_NM,TALK_FLAG_NM,STATE_NM,UPDT_DE
20220701,한국어,숙박,숙박,호텔,성산,일출봉,숙박,숙소,탐나오,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220701
20220701,한국어,숙박,숙박,기타,연락처,영실,성산,숙소,한라산,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220701
20220701,한국어,숙박,숙박,기타,성산,일출봉,우도,숙박,왕복,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220701
20220703,한국어,숙박,숙박,호텔,성산,숙박,셔틀,렌터카,해수,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220703
20220704,한국어,숙박,숙박,기타,숙박,드림,탐나오,제주,이용,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220704
20220704,한국어,숙박,숙박,펜션/민박,쇠소깍,오름,주차장,문자,휴양,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220704
20220704,한국어,숙박,숙박,호텔,사무실,호텔,할인,제주,방문,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220704
20220705,한국어,숙박,숙박,기타,유채꽃,이용,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220705
20220706,한국어,숙박,숙박,펜션/민박,자연휴양림,교래자연,자연,사무실,문자,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220706
20220706,한국어,숙박,숙박,호텔,메일,호텔,청소년,제주,방문,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220707
20220707,한국어,숙박,숙박,호텔,인원,호텔,신화월드,메종글래드,리조트,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220707
20220708,한국어,숙박,숙박,호텔,호텔,문의처,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220708
20220708,한국어,숙박,숙박,리조트,인원,숙박,문자,숙소,탐나오,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220708
20220708,한국어,숙박,숙박,호텔,호텔,공지,제주,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220708
20220708,한국어,숙박,숙박,호텔,호텔,공지,제주,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220708
20220711,한국어,숙박,숙박,기타,온라인,숙박,문자,요금,민박,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220711
20220712,한국어,숙박,숙박,호텔,,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220712
20220712,한국어,숙박,숙박,기타,숙박,문자,탐나오,인터넷,제주,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220720
20220715,한국어,숙박,숙박,펜션/민박,리조트,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220715
20220715,한국어,숙박,숙박,펜션/민박,제주,이용,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220719
20220715,한국어,숙박,숙박,펜션/민박,,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220715
20220715,한국어,숙박,숙박,펜션/민박,유아,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220715
20220716,한국어,숙박,숙박,기타,숙박,제주,가격,이용,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220716
20220718,한국어,숙박,숙박,호텔,이용,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220718
20220718,한국어,숙박,숙박,호텔,무슬림,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220718
20220718,한국어,숙박,숙박,호텔,문자,중문,제주,이용,관광정보,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220718
20220718,한국어,숙박,숙박,호텔,연락처,이용,문의처,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220719
20220719,한국어,숙박,숙박,호텔,호텔,투숙객,신라,제주,이용,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220719
20220719,한국어,숙박,숙박,호텔,제주,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220719
