RCEPT_DE,LANG_FLAG_NM,CNSLT_LCLAS_NM,CNSLT_MLSFC_NM,CNSLT_SCLAS_NM,CNSLT_KWRD_RN1_NM,CNSLT_KWRD_RN2_NM,CNSLT_KWRD_RN3_NM,CNSLT_KWRD_RN4_NM,CNSLT_KWRD_RN5_NM,CNSLT_TY_NM,TOUR_PURPS_NM,COURS_NM,CSTMR_INCLN_NM,CHNNEL_FLAG_NM,TALK_FLAG_NM,STATE_NM,UPDT_DE
20230202,한국어,숙박,숙박,펜션/민박,체험,현장,마을,성읍,민속마을,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230202
20230203,한국어,숙박,숙박,펜션/민박,마라도,문자,리조트,인터넷,서귀포,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230203
20230203,한국어,숙박,숙박,리조트,인원,숙박,리조트,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230203
20230206,한국어,숙박,숙박,리조트,연락처,리조트,제주,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230206
20230207,한국어,숙박,숙박,펜션/민박,리조트,제주,이용,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230207
20230208,한국어,숙박,숙박,펜션/민박,편의시설,온라인,문자,숙소,민박,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230208
20230208,한국어,숙박,숙박,펜션/민박,리조트,제주,이용,애월리,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230208
20230208,한국어,숙박,숙박,펜션/민박,휴양,제주,이용,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230208
20230208,한국어,숙박,숙박,펜션/민박,오름,올레,이용,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230208
20230208,한국어,숙박,숙박,펜션/민박,올레,제주,이용,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230208
20230208,한국어,숙박,숙박,펜션/민박,유선,이용,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230208
20230208,한국어,숙박,숙박,펜션/민박,제주,이용,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230208
20230209,한국어,숙박,숙박,펜션/민박,숙박,민박,안전,인증,비짓,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230209
20230210,한국어,숙박,숙박,펜션/민박,체험,온라인,유선,숙박,문자,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230210
20230213,한국어,숙박,숙박,기타,삼양,사우나,해수,삼양해수,이용,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230322
20230213,한국어,숙박,숙박,게스트하우스,성판악,탐방,숙소,무료,게스트하우스,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230213
20230214,한국어,숙박,숙박,기타,무료,사우나,해미안,이용,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230214
20230214,한국어,숙박,숙박,기타,요금,사우나,해수,김녕용암해수,김녕,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230214
20230214,한국어,숙박,숙박,펜션/민박,숙박,문자,숙소,렌터카,탐나오,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230214
20230215,한국어,숙박,숙박,게스트하우스,숙박,호텔,게스트하우스,민박,한라산,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230215
20230215,한국어,숙박,숙박,게스트하우스,성판악,영실,유선,숙박,문자,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230215
20230216,한국어,숙박,숙박,펜션/민박,문자,휴양,비짓,제주,관광정보,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230216
20230216,한국어,숙박,숙박,호텔,숙박,문자,탐나오,비짓,제주,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230216
20230218,한국어,숙박,숙박,펜션/민박,성산,숙소,코지,여권,탐나오,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230219
20230219,한국어,숙박,숙박,펜션/민박,연락처,대여,체험,숙박,문자,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230219
20230220,한국어,숙박,숙박,펜션/민박,숙박,문자,민박,안전,인증,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230220
20230220,한국어,숙박,숙박,펜션/민박,온라인,문자,리스트,숙소,민박,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230220
20230220,한국어,숙박,숙박,기타,비자림,수련원,청소년,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230220
20230221,한국어,숙박,숙박,기타,찜질방,이용,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230221
20230221,한국어,숙박,숙박,기타,사우나,찜질방,이용,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230221
20230221,한국어,숙박,숙박,기타,사우나,보관,롯데,제주,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230221
20230221,한국어,숙박,숙박,기타,보관,해수,도두,파크,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230221
20230221,한국어,숙박,숙박,기타,비자림,수련원,청소년,제주,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230316
20230222,한국어,숙박,숙박,펜션/민박,민박,안전,인증,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230222
20230224,한국어,숙박,숙박,기타,대여,숙소,렌터카,서귀포,시내,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230224
20230224,한국어,숙박,숙박,기타,숙박,숙소,탐나오,서귀포,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230224
20230224,한국어,숙박,숙박,호텔,숙박,문자,숙소,렌터카,관광지,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230224
20230224,한국어,숙박,숙박,호텔,문자,숙소,호텔,신라,메종글래드,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230224
20230224,한국어,숙박,숙박,호텔,연락처,유선,숙박,문자,숙소,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230224
20230224,한국어,숙박,숙박,펜션/민박,오름,거문오름,유선,숙박,문자,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230224
20230226,한국어,숙박,숙박,호텔,문자,숙소,호텔,파크,시내,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230226
20230227,한국어,숙박,숙박,호텔,성산,유선,문자,리스트,호텔,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230227
20230227,한국어,숙박,숙박,게스트하우스,사무실,유선,문자,숙소,픽업,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230227
20230228,한국어,숙박,숙박,기타,숲길,숙소,서귀포,시내,제주,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230228
20230228,한국어,숙박,숙박,호텔,소요시간,호텔,켄싱턴,칼호텔,서귀포,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230228
