RCEPT_DE,LANG_FLAG_NM,CNSLT_LCLAS_NM,CNSLT_MLSFC_NM,CNSLT_SCLAS_NM,CNSLT_KWRD_RN1_NM,CNSLT_KWRD_RN2_NM,CNSLT_KWRD_RN3_NM,CNSLT_KWRD_RN4_NM,CNSLT_KWRD_RN5_NM,CNSLT_TY_NM,TOUR_PURPS_NM,COURS_NM,CSTMR_INCLN_NM,CHNNEL_FLAG_NM,TALK_FLAG_NM,STATE_NM,UPDT_DE
20231002,한국어,숙박,숙박,펜션/민박,오름,성산,숙박,숙소,게스트하우스,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20231002
20231003,한국어,숙박,숙박,호텔,현장,테마파크,파크,신화월드,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20231003
20231004,한국어,숙박,숙박,모텔/여관,유선,숙박,문자,숙소,모텔,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20231004
20231005,한국어,숙박,숙박,호텔,연락처,1100,유선,문자,호텔,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20231005
20231005,한국어,숙박,숙박,펜션/민박,사려니,성판악,비자림,숙박,문자,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20231005
20231005,한국어,숙박,숙박,호텔,성산,일출봉,숙박,문자,숙소,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20231005
20231007,한국어,숙박,숙박,호텔,우도,숙박,숙소,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20231007
20231007,한국어,숙박,숙박,펜션/민박,국립공원,성판악,숙박,숙소,픽업,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20231007
20231011,한국어,숙박,숙박,게스트하우스,영실,숙소,게스트하우스,영실코스,어리목,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20231011
20231012,한국어,숙박,숙박,게스트하우스,호텔,호텔난타,제주,이용,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20231012
20231012,한국어,숙박,숙박,게스트하우스,게스트하우스,한라산,한라,이용,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20231012
20231012,한국어,숙박,숙박,게스트하우스,이용,관음사,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20231012
20231012,한국어,숙박,숙박,펜션/민박,오름,다랑쉬오름,성산,온라인,문자,일반,휴양 및 관광,포털사이트,일반,전화,인바운드,완료,20231012
20231016,한국어,숙박,숙박,펜션/민박,문자,숙소,탐나오,한림,제주,일반,휴양 및 관광,114,일반,전화,인바운드,완료,20231016
20231017,한국어,숙박,숙박,펜션/민박,숙박,숙소,게스트하우스,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20231017
20231017,한국어,숙박,숙박,펜션/민박,무료,투숙객,캠프,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20231017
20231017,한국어,숙박,숙박,펜션/민박,,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20231017
20231017,한국어,숙박,숙박,펜션/민박,리조트,제주,이용,애월리,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20231017
20231017,한국어,숙박,숙박,호텔,연락처,1100,문자,숙소,요금,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20231017
20231018,한국어,숙박,숙박,게스트하우스,게스트하우스,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20231018
