RCEPT_DE,LANG_FLAG_NM,CNSLT_LCLAS_NM,CNSLT_MLSFC_NM,CNSLT_SCLAS_NM,CNSLT_KWRD_RN1_NM,CNSLT_KWRD_RN2_NM,CNSLT_KWRD_RN3_NM,CNSLT_KWRD_RN4_NM,CNSLT_KWRD_RN5_NM,CNSLT_TY_NM,TOUR_PURPS_NM,COURS_NM,CSTMR_INCLN_NM,CHNNEL_FLAG_NM,TALK_FLAG_NM,STATE_NM,UPDT_DE
20220401,한국어,숙박,숙박,호텔,,,,,,자동저장,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220401
20220401,한국어,숙박,숙박,리조트,리조트,제주,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220401
20220403,한국어,숙박,숙박,리조트,호텔,이용,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220403
20220404,한국어,숙박,숙박,기타,숙박,수련원,안덕,청소년,이용,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220404
20220404,한국어,숙박,숙박,기타,비자림,수련원,청소년,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220404
20220404,한국어,숙박,숙박,기타,유스호스텔,제주,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220404
20220404,한국어,숙박,숙박,기타,수련원,청소년,제주,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220404
20220404,한국어,숙박,숙박,기타,수련원,젊음의집,젊음,청소년,이용,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220404
20220404,한국어,숙박,숙박,기타,수련원,부영,청소년,제주,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220404
20220405,한국어,숙박,숙박,게스트하우스,제주올레길,숙박,난이도,숙소,게스트하우스,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220517
20220406,한국어,숙박,숙박,펜션/민박,문자,숙소,드림,탐나오,비짓,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220406
20220406,한국어,숙박,숙박,펜션/민박,숙박,문자,숙소,요금,호텔,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220406
20220406,한국어,숙박,숙박,모텔/여관,자연휴양림,절물자연휴양림,자연,절물자연,문자,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220406
20220407,한국어,숙박,숙박,리조트,드림,타워,제주,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220407
20220407,한국어,숙박,숙박,호텔,연락처,호텔,인터넷,서귀포,시내,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220407
20220408,한국어,숙박,숙박,호텔,숙박,탐나오,비짓,제주,이용,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220408
20220410,한국어,숙박,숙박,모텔/여관,산방산,숙박,문자,숙소,호텔,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220410
20220411,한국어,숙박,숙박,기타,비자림,숙박,문자,제주도청,수련원,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220411
20220411,한국어,숙박,숙박,기타,숙박,무료,인터넷,제주,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220411
20220412,한국어,숙박,숙박,펜션/민박,유선,문자,숙소,호텔,게스트하우스,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220412
20220412,한국어,숙박,숙박,호텔,문자,호텔,안전,롯데,메종글래드,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220412
20220412,한국어,숙박,숙박,펜션/민박,양떼목장,제주,이용,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220412
20220412,한국어,숙박,숙박,호텔,연락처,호텔,제주,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220412
20220413,한국어,숙박,숙박,모텔/여관,숲길,자연휴양림,오름,절물자연휴양림,사려니,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220413
20220413,한국어,숙박,숙박,펜션/민박,문자,탐나오,비짓,제주,가격,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220413
20220413,한국어,숙박,숙박,호텔,마라도,숙박,숙소,대정,안덕,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220413
20220413,한국어,숙박,숙박,펜션/민박,대여,자전거,체험,공공,숙박,일반,휴양 및 관광,,일반,전화,인바운드,완료,20220413
20220415,한국어,숙박,숙박,기타,유스호스텔,이용,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220415
20220415,한국어,숙박,숙박,기타,유스호스텔,리조트,제주,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220415
20220415,한국어,숙박,숙박,기타,오름,거문오름,이용,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220415
20220418,한국어,숙박,숙박,펜션/민박,숙박,문자,숙소,민박,안전,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220502
20220419,한국어,숙박,숙박,기타,인원,숙박,문자,제주도청,숙소,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220419
20220420,한국어,숙박,숙박,펜션/민박,숙박,한달살기,제주,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220420
20220420,한국어,숙박,숙박,펜션/민박,숙박,문자,게스트하우스,민박,안전,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220420
20220421,한국어,숙박,숙박,호텔,비양도,성산,우도,유선,문자,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220421
20220421,한국어,숙박,숙박,기타,1100,유선,숙박,문자,숙소,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20220421
20220421,한국어,숙박,숙박,기타,호텔,제주,주소,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20220421
