AREA_NM,EXTRC_KWRD_CN,KWRD_FQ_CO
부산광역시,뷰,10573
부산광역시,위치,10201
부산광역시,친절,9689
부산광역시,직원,8607
부산광역시,만족,8047
부산광역시,해운대,5843
부산광역시,가격,5834
부산광역시,최고,5650
부산광역시,시설,5511
부산광역시,객실,5433
부산광역시,조식,5365
부산광역시,여행,4997
부산광역시,주차,3832
부산광역시,추천,3683
부산광역시,방문,3656
부산광역시,예약,3458
부산광역시,바다,3262
부산광역시,침대,3084
부산광역시,청결,2951
부산광역시,화장실,2873
부산광역시,서비스,2866
부산광역시,오션,2804
부산광역시,상태,2357
부산광역시,주변,2205
부산광역시,컨디션,2194
부산광역시,청소,2092
부산광역시,주차장,2084
부산광역시,숙박,2044
부산광역시,침구,1887
부산광역시,가족,1859
서울특별시,위치,8131
서울특별시,친절,7921
서울특별시,직원,7247
서울특별시,만족,6663
서울특별시,가격,4631
서울특별시,객실,4426
서울특별시,조식,4404
서울특별시,시설,4130
서울특별시,최고,3667
서울특별시,서울,3325
서울특별시,뷰,3041
서울특별시,방문,3032
서울특별시,추천,2964
서울특별시,침대,2817
서울특별시,예약,2687
서울특별시,서비스,2514
서울특별시,청결,2362
서울특별시,상태,2195
서울특별시,주차,2147
서울특별시,주변,2081
서울특별시,화장실,2071
서울특별시,컨디션,1888
서울특별시,숙박,1858
서울특별시,편안,1695
서울특별시,청소,1693
서울특별시,느낌,1623
서울특별시,서울역,1569
서울특별시,라운지,1559
서울특별시,욕조,1533
서울특별시,소리,1513
제주특별자치도,친절,3904
제주특별자치도,직원,3637
제주특별자치도,만족,3197
제주특별자치도,제주,3029
제주특별자치도,가격,2949
제주특별자치도,위치,2937
제주특별자치도,조식,2781
제주특별자치도,여행,2755
제주특별자치도,시설,2564
제주특별자치도,수영장,2514
제주특별자치도,객실,2331
제주특별자치도,최고,2164
제주특별자치도,뷰,2079
제주특별자치도,추천,2039
제주특별자치도,가족,1637
제주특별자치도,예약,1528
제주특별자치도,방문,1389
제주특별자치도,바다,1365
제주특별자치도,공항,1329
제주특별자치도,주변,1325
제주특별자치도,주차,1222
제주특별자치도,침대,1217
제주특별자치도,상태,1200
제주특별자치도,주차장,1092
제주특별자치도,화장실,1065
제주특별자치도,청결,1004
제주특별자치도,청소,957
제주특별자치도,풍림,942
제주특별자치도,서비스,939
제주특별자치도,컨디션,876
전라도,뷰,1836
전라도,위치,1714
전라도,여수,1412
전라도,친절,1385
전라도,만족,1360
전라도,여행,1323
전라도,조식,1306
전라도,시설,1254
전라도,직원,1252
전라도,객실,1054
전라도,가격,846
전라도,최고,739
전라도,수영장,720
전라도,가족,702
전라도,방문,690
전라도,추천,645
전라도,예약,637
전라도,남원,620
전라도,침대,558
전라도,바다,541
전라도,청결,486
전라도,상태,481
전라도,주변,440
전라도,숙박,405
전라도,청소,395
전라도,화장실,389
전라도,오션,363
전라도,서비스,357
전라도,주차,349
전라도,아침,340
경상도,조식,3618
경상도,시설,3313
경상도,만족,3204
경상도,가격,3130
경상도,친절,2968
경상도,직원,2743
경상도,여행,2699
경상도,객실,2287
경상도,위치,2177
경상도,가족,1936
경상도,예약,1887
경상도,뷰,1468
경상도,방문,1267
경상도,침대,1244
경상도,상태,1222
경상도,추천,1144
경상도,숙박,1095
경상도,청소,1095
경상도,화장실,1035
경상도,최고,1034
경상도,주차,1001
경상도,수영장,991
경상도,주변,976
경상도,청결,930
경상도,호수,870
경상도,아침,852
경상도,느낌,848
경상도,서비스,817
경상도,냄새,799
경상도,컨디션,786
충청도,친절,712
충청도,시설,685
충청도,직원,593
충청도,충주,563
충청도,만족,531
충청도,객실,499
충청도,아울렛,394
충청도,조식,374
충청도,가격,372
충청도,방문,351
충청도,주변,303
충청도,예약,276
충청도,여행,271
충청도,침대,263
충청도,주차,258
충청도,위치,255
충청도,가족,224
충청도,청결,223
충청도,최고,219
충청도,청소,219
충청도,주차장,218
충청도,로비,209
충청도,냄새,208
충청도,뷰,207
충청도,편안,201
충청도,상태,201
충청도,서비스,200
충청도,추천,181
충청도,화장실,161
충청도,숙박,159
강원도,시설,2775
강원도,조식,2774
강원도,친절,2614
강원도,직원,2602
강원도,만족,2585
강원도,객실,2492
강원도,뷰,2464
강원도,여행,2228
강원도,위치,1942
강원도,가격,1936
강원도,설악산,1892
강원도,속초,1827
강원도,바다,1675
강원도,최고,1649
강원도,가족,1572
강원도,정원,1516
강원도,방문,1423
강원도,예약,1381
강원도,추천,1198
강원도,설악,1164
강원도,주변,1038
강원도,상태,995
강원도,비치,980
강원도,수영장,930
강원도,느낌,911
강원도,청소,858
강원도,침대,851
강원도,화장실,813
강원도,아침,813
강원도,전망,797
경기도,시설,1291
경기도,친절,1092
경기도,만족,894
경기도,직원,877
경기도,가격,723
경기도,객실,680
경기도,가족,672
경기도,방문,594
경기도,여행,574
경기도,조식,533
경기도,최고,527
경기도,예약,506
경기도,풍림,481
경기도,주변,472
경기도,수영장,472
경기도,냄새,412
경기도,청결,399
경기도,추천,394
경기도,상태,375
경기도,위치,371
경기도,화장실,354
경기도,아침,349
경기도,침대,318
경기도,청소,297
경기도,컨디션,277
경기도,숙박,268
경기도,서비스,258
경기도,사용,242
경기도,침구,241
경기도,주차,240
