AREA_NM,EXTRC_KWRD_CN,KWRD_FQ_CO
부산광역시,위치,2457
부산광역시,친절,1949
부산광역시,깨끗,1784
부산광역시,직원,1590
부산광역시,깔끔,1440
부산광역시,여행,1408
부산광역시,가격,1287
부산광역시,시설,1231
부산광역시,객실,1229
부산광역시,해운대,1136
부산광역시,주차,855
부산광역시,조식,842
부산광역시,바다,730
부산광역시,침대,724
부산광역시,청결,703
부산광역시,화장실,666
부산광역시,가족,665
부산광역시,청소,493
부산광역시,컨디션,483
부산광역시,서비스,468
부산광역시,침구,449
부산광역시,주차장,441
부산광역시,숙박,436
부산광역시,가능,424
부산광역시,편안,415
부산광역시,부산역,393
부산광역시,편의점,360
부산광역시,저렴,344
부산광역시,소리,342
부산광역시,사용,331
서울특별시,위치,1758
서울특별시,친절,1420
서울특별시,깨끗,1256
서울특별시,직원,1167
서울특별시,깔끔,1121
서울특별시,객실,912
서울특별시,시설,802
서울특별시,가격,796
서울특별시,조식,715
서울특별시,침대,603
서울특별시,주차,570
서울특별시,청결,531
서울특별시,화장실,508
서울특별시,컨디션,375
서울특별시,서비스,370
서울특별시,침구,345
서울특별시,숙박,340
서울특별시,방음,331
서울특별시,청소,330
서울특별시,여행,315
서울특별시,소리,310
서울특별시,편안,296
서울특별시,조용,292
서울특별시,욕조,283
서울특별시,가능,271
서울특별시,접근성,257
서울특별시,소음,251
서울특별시,냄새,231
서울특별시,따뜻,224
서울특별시,가족,221
제주특별자치도,친절,1503
제주특별자치도,깨끗,1414
제주특별자치도,위치,1401
제주특별자치도,직원,1322
제주특별자치도,가격,1050
제주특별자치도,조식,1042
제주특별자치도,여행,1001
제주특별자치도,객실,926
제주특별자치도,깔끔,874
제주특별자치도,시설,796
제주특별자치도,주차,690
제주특별자치도,수영장,669
제주특별자치도,공항,609
제주특별자치도,가족,564
제주특별자치도,침대,561
제주특별자치도,주차장,533
제주특별자치도,청결,478
제주특별자치도,화장실,475
제주특별자치도,시장,456
제주특별자치도,제주도,372
제주특별자치도,컨디션,369
제주특별자치도,편의점,367
제주특별자치도,침구,352
제주특별자치도,한라산,342
제주특별자치도,청소,340
제주특별자치도,따뜻,338
제주특별자치도,편안,333
제주특별자치도,저렴,329
제주특별자치도,숙박,309
제주특별자치도,서비스,308
전라도,깨끗,630
전라도,위치,585
전라도,여행,558
전라도,여수,504
전라도,친절,447
전라도,객실,392
전라도,직원,392
전라도,시설,385
전라도,깔끔,368
전라도,조식,329
전라도,가격,292
전라도,가족,288
전라도,침대,204
전라도,수영장,195
전라도,청결,193
전라도,바다,186
전라도,화장실,165
전라도,따뜻,160
전라도,컨디션,142
전라도,한옥마을,134
전라도,주차,132
전라도,가능,131
전라도,편의점,129
전라도,청소,121
전라도,숙박,116
전라도,소리,114
전라도,주차장,110
전라도,침구,110
전라도,서비스,107
전라도,방음,106
경상도,조식,529
경상도,깨끗,474
경상도,깔끔,403
경상도,친절,401
경상도,직원,379
경상도,객실,346
경상도,시설,335
경상도,가격,326
경상도,수영장,276
경상도,여행,272
경상도,위치,258
경상도,침대,251
경상도,가족,247
경상도,주차,193
경상도,청결,179
경상도,서비스,165
경상도,방음,149
경상도,화장실,147
경상도,따뜻,146
경상도,컨디션,141
