AREA_NM,EXTRC_KWRD_CN,KWRD_FQ_CO
부산광역시,뷰,6028
부산광역시,위치,5847
부산광역시,친절,5069
부산광역시,만족,4826
부산광역시,직원,4411
부산광역시,시설,3456
부산광역시,가격,3405
부산광역시,해운대,3265
부산광역시,객실,3122
부산광역시,최고,3055
부산광역시,조식,2819
부산광역시,여행,2756
부산광역시,방문,2126
부산광역시,주차,1988
부산광역시,바다,1970
부산광역시,추천,1940
부산광역시,침대,1836
부산광역시,청결,1801
부산광역시,오션,1645
부산광역시,화장실,1639
부산광역시,서비스,1555
부산광역시,상태,1496
부산광역시,주변,1424
부산광역시,숙박,1424
부산광역시,컨디션,1172
부산광역시,청소,1171
부산광역시,편안,1118
부산광역시,가족,1052
부산광역시,주차장,1050
부산광역시,냄새,1048
서울특별시,위치,4377
서울특별시,친절,4077
서울특별시,직원,3734
서울특별시,만족,3621
서울특별시,가격,2519
서울특별시,객실,2423
서울특별시,시설,2364
서울특별시,조식,2149
서울특별시,최고,1865
서울특별시,침대,1627
서울특별시,방문,1510
서울특별시,뷰,1500
서울특별시,청결,1460
서울특별시,서비스,1448
서울특별시,서울,1333
서울특별시,추천,1330
서울특별시,상태,1188
서울특별시,주차,1183
서울특별시,화장실,1180
서울특별시,숙박,1156
서울특별시,주변,1107
서울특별시,편안,996
서울특별시,느낌,924
서울특별시,청소,905
서울특별시,소리,894
서울특별시,컨디션,891
서울특별시,방음,869
서울특별시,침구,826
서울특별시,욕조,797
서울특별시,냄새,736
제주특별자치도,친절,2248
제주특별자치도,만족,2204
제주특별자치도,직원,1989
제주특별자치도,조식,1987
제주특별자치도,위치,1919
제주특별자치도,가격,1746
제주특별자치도,여행,1679
제주특별자치도,시설,1624
제주특별자치도,객실,1397
제주특별자치도,뷰,1387
제주특별자치도,최고,1315
제주특별자치도,추천,1224
제주특별자치도,공항,1064
제주특별자치도,침대,973
제주특별자치도,주차,965
제주특별자치도,방문,919
제주특별자치도,수영장,891
제주특별자치도,주변,854
제주특별자치도,바다,787
제주특별자치도,청결,779
제주특별자치도,상태,758
제주특별자치도,가족,742
제주특별자치도,주차장,675
