LDGS_NM,AFRM_KWRD_CN,AFRM_WGHTVAL_SCORE,NEGA_KWRD_CN,NEGA_WGHTVAL_SCORE
아르반 호텔,"['친절', '시설', '방문', '여행', '객실']","[1.3717230004763883, 1.2275194093973802, 1.0194962009333868, 0.8082646765753921, 0.7528339556715522]","['냄새', '소리', '화장실', '새벽', '보통']","[-1.7649716148940267, -1.4410802243220484, -1.2948017113594508, -1.2356106429116942, -1.1059842669749738]"
솔라리아 니시테츠 부산,"['친절', '청결', '서면', '직원', '서비스']","[1.691521676039843, 1.2963873298327766, 1.0964935337388508, 0.9772309813976303, 0.7980129847050852]","['한복판', '청소', '냄새', '보통', '위치']","[-1.1311813645151305, -1.095546147223171, -1.0412939730909692, -0.9809895126250814, -0.945877479501476]"
라마다 앙코르 바이 윈덤 부산역,"['친절', '부산역', '여행', '주변', '출장']","[0.8873287893107137, 0.7632601419096299, 0.6972005392163506, 0.6686387190491766, 0.6221300100224492]","['청소', '먼지', '화장실', '손님', '머리카락']","[-1.8465189926825316, -1.4982416434723826, -1.2223333709499606, -1.0832704869640493, -0.9735855083030893]"
베니키아 호텔 해운대,"['친절', '사우나', '온천', '방문', '무료']","[1.7964101412083018, 1.780110063384131, 1.6467021461191826, 1.5305324541897682, 1.5051386335324337]","['불친절', '보통', '직원', '모텔', '냄새']","[-1.9050338979333346, -1.8014875796515522, -1.7820602769341432, -1.5942662587266518, -1.5620892151541483]"
이비스 버젯 앰배서더 부산 해운대,"['친절', '청결', '욕장', '나머지', '강추']","[1.5992431978532349, 1.2219082053714247, 1.1202153897910403, 1.1102514896461175, 1.082557979773234]","['앰배서더', '비스', '보통', '냄새', '후기']","[-8.432258926344465, -4.149661070221142, -2.20807822519647, -1.8373380931868215, -1.7091836647226615]"
라발스 호텔 부산,"['시설', '여행', '바다', '영도', '위치']","[1.527858798944563, 1.4426089874911419, 1.3002505509779, 1.0139462961415318, 0.9959017993625205]","['성급', '모텔', '먼지', '조식', '욕실']","[-1.0758039772060128, -1.0727663353443075, -0.8460799231242072, -0.8240302761156943, -0.7281815120445576]"
펠릭스 바이 STX 호텔 & 스위트,"['친절', '조식', '해운대', '위치', '객실']","[1.9802657376598345, 1.5944446616280208, 1.4451447885503839, 1.1309884365962748, 0.9530413487605581]","['침대', '청소', '체크아웃', '보통', '수준']","[-1.371544189536074, -1.2260582350634182, -1.0758841017447698, -1.0217346265279477, -0.9508713597207732]"
신라스테이 해운대,"['친절', '해운대', '오션', '감사', '해변']","[2.1454003859627275, 1.558579696127979, 1.3815110343024881, 1.3594383254939075, 1.330249733429891]","['모텔', '냄새', '금액', '방음', '수준']","[-1.9843973152472627, -1.889058410713248, -1.6255174952160723, -1.5482031197875474, -1.3767335155286036]"
코오롱 씨클라우드 호텔,"['친절', '해운대', '여행', '클라우드', '접근성']","[2.1794159564019933, 2.033851691508209, 1.4294488452421938, 1.2119844201759569, 1.077246120519628]","['냄새', '기대', '엘리베이터', '화장실', '청소']","[-1.2122618311627136, -1.118857013030239, -1.092241810479898, -1.0914173524252133, -1.0523122006595107]"
아바니 센트럴 부산,"['친절', '침구', '서면', '방문', '시설']","[2.2751761392492393, 1.2382782115563187, 1.1766602071128582, 1.078740974769328, 0.8654805622505498]","['청소', '냄새', '응대', '아무것', '전화']","[-1.475799647417995, -1.3550543879620818, -1.2260101074153298, -1.2017389491485744, -1.1877546555117546]"
롯데 호텔 서울,"['친절', '위치', '방문', '조식', '침구']","[2.0871797194712958, 1.5812090363444329, 1.154094869775321, 1.034378375361834, 0.8879582772596609]","['처음', '청소', '시설', '타워', '가격']","[-1.0526051665996554, -1.0502511872939897, -1.0357494718350282, -1.0323062315327274, -0.9799390877371129]"
웨스틴 조선호텔 서울,"['성급', '코로나', '청결', '환구단', '친절']","[1.7371369696450654, 1.5702219297160889, 1.554254708867638, 1.4632542149545753, 1.400380851926219]","['서울', '명동', '컨디션', '라운지', '파크']","[-9.047714038298745, -1.9510117228718167, -1.8152351143007484, -1.6642137489590614, -1.6613945130180163]"
롯데 호텔 부산,"['직원', '친절', '롯데', '위치', '백화점']","[1.555696114909313, 1.4506912615429666, 1.0735337309859794, 0.995575318273649, 0.9684564032369671]","['청소', '양호', '후기', '예전', '의문']","[-0.988414266345445, -0.9742724675253741, -0.9396220369675188, -0.8911879047987494, -0.7852700998894253]"
히든 클리프 호텔 앤 네이처,"['친절', '인피니티', '방문', '제주', '컨디션']","[1.2467818596616462, 1.2041331426436443, 1.1587471899242823, 1.0315634861322234, 0.961062573831666]","['성급', '소리', '때문', '방음', '가족']","[-1.5286123878779356, -1.477575237105967, -1.4337683442018274, -1.38013238215639, -1.2123144190570494]"
여수 호텔 jcs,"['여수', '여행', '방문', '편의점', '자동']","[1.4921926893155875, 0.9413076396225075, 0.7463809484999796, 0.626099339853855, 0.6046417624370813]","['응대', '서비스', '객실', '편의', '예약']","[-1.0975087772711123, -1.0846710310883194, -0.860429819681116, -0.829584312216939, -0.7948939632974624]"
