LDGS_NM,AFRM_KWRD_CN,AFRM_WGHTVAL_SCORE,NEGA_KWRD_CN,NEGA_WGHTVAL_SCORE
여수 베네치아 호텔&리조트,"['요트', '감사', '위치', '접근성', '청결']","[1.5242221420839093, 1.32556246981163, 1.2765885373076158, 1.1129726726493714, 0.9574423108313869]","['오픈', '여수', '신축', '냄새', '무료']","[-3.378234980077619, -2.9789602588146176, -2.3967378683470693, -2.2408310314751563, -2.2228090706266452]"
호텔 토마스 명동,"['친절', '우수', '주변', '접근성', '감사']","[1.0778065575826326, 1.0489104755557899, 0.7727899113002608, 0.6785366356015847, 0.6495845437489917]","['보통', '교통', '후기', '비지떡', '수건']","[-1.0680582341319198, -0.784612929733123, -0.7691117445729604, -0.7377936286762916, -0.7150483097381877]"
나인트리 호텔 명동,"['방문', '친절', '명동', '친구', '여행']","[1.214409410993655, 1.1965357593729493, 1.1716518231494422, 1.0186829045941723, 0.8309616423252784]","['새벽', '보통', '먼지', '머리카락', '냄새']","[-1.0694963586462471, -0.9284438447355571, -0.868974978339929, -0.8688883855008869, -0.8191710459406822]"
신라스테이 울산,"['친절', '침구', '감사', '그거', '조식']","[2.1513980334339045, 1.812186215389781, 1.394832411782714, 1.1883701635229826, 1.0335510535857808]","['먼지', '방음', '보통', '소리', '모텔']","[-2.096663271714923, -1.6791395687771686, -1.5362826290852216, -1.5077054644841668, -1.4056447489415562]"
그랜드플라자청주호텔,"['친절', '출장', '청주', '위치', '연식']","[0.7980144314182915, 0.7715108569538099, 0.7034600697700581, 0.6973213073456741, 0.6130916167367341]","['시설', '청결', '부대시설', '예약', '때문']","[-0.7915414302270065, -0.7149154161132923, -0.6806286244396984, -0.6011846791394515, -0.5863217558567656]"
호메르스 호텔,"['친절', '방문', '광안리', '디럭스', '환상']","[1.5267416047791096, 1.3261417316999748, 1.119446709967007, 0.9348382082417992, 0.8386632710070209]","['모텔', '머리카락', '추가', '불친절', '얼룩']","[-1.8006127748633052, -1.4813812151539467, -1.2068777717488204, -1.1335036532461682, -1.0548861710915365]"
힐튼부산,"['친절', '부대시설', '산책로', '완벽', '필요']","[1.9440277523316312, 1.6302180502375712, 1.2947887465348968, 1.2694252022029664, 1.2680744132928359]","['특급', '청소', '전화', '에어컨', '소음']","[-1.5751801294733156, -1.5573588944071715, -1.440364436256299, -1.3696075714656535, -1.356969329600975]"
브라운도트호텔 덕천점,"['친절', '시설', '화장실', '가격', '전반']","[1.0765533635827194, 0.7658446451721866, 0.6358233524130362, 0.43064771664813345, 0.3497135671898554]","['소음', '취소', '관광지', '처음', '특가']","[-0.8529778085371269, -0.800996971500003, -0.7464274969515942, -0.6860482645765956, -0.6736965916662433]"
제이비디자인호텔,"['친절', '해운대', '조식', '출장', '우수']","[2.017075472469532, 1.7187516050232674, 1.6515643759449092, 1.2236288816858003, 1.1065705409257656]","['청소', '모텔', '냄새', '곰팡이', '사람']","[-2.160747406515649, -2.048859514861567, -1.80008333631141, -1.6783851196955026, -1.2420638893345595]"
그랜드 조선 부산,"['친절', '해운대', '수영장', '서비스', '여행']","[2.273077319914248, 1.3476965977202344, 1.281270443556229, 1.081541935152257, 1.0231449083713893]","['기대', '이해', '작음', '냄새', '아쉬움']","[-1.5218101271726037, -1.442329343344153, -1.4401580243915164, -1.411977283699359, -1.3561957062922652]"
파크하얏트부산,"['여행', '오션', '방문', '파크', '수영장']","[1.4362733746618557, 1.0430961807580796, 0.9871116844204456, 0.9510073425806188, 0.9344983577138091]","['가격', '화장실', '수준', '부분', '기대']","[-1.3469333293703496, -1.25330065508744, -1.2444409381847252, -1.1799134851829836, -0.8908637434848384]"
티티호텔,"['편의점', '친절', '방문', '여행', '서면']","[1.073751974356311, 1.0402712552567146, 0.9476838951673981, 0.9030491544403455, 0.8836468387617812]","['주차장', '샤워', '자리', '전화', '먼지']","[-1.237497280231824, -1.1316192884406775, -1.1212331710899976, -0.9349875665941244, -0.8106026524638462]"
나인트리프리미어호텔인사동,"['주변', '시설', '트리', '방문', '위치']","[1.3327067238251464, 1.303690745448768, 1.2409982360278424, 1.0192199630539396, 0.9911389669782088]","['먼지', '청소', '불친절', '양호', '조식']","[-2.2943789543412167, -1.6573617113576864, -1.6152605772833728, -1.2933071711247286, -1.0277412749726829]"
서울프린스호텔,"['우수', '명동역', '명동', '친절', '프린스']","[1.4210684566599165, 0.9829154536723181, 0.489888410150029, 0.4770911400952916, 0.47605417232379577]","['양호', '보통', '숙박', '침대', '불친절']","[-1.6236771185851906, -1.5103275162480951, -0.7574996946883038, -0.7068715823540632, -0.6690953636721217]"
뉴서울호텔,"['친절', '서울', '침대', '여행', '방문']","[1.6409676772511117, 1.3146617210290525, 0.9265384742606708, 0.8834277753868102, 0.8783134365238368]","['보통', '모텔', '욕실', '머리카락', '조명']","[-1.4612166077808648, -1.3316516835087162, -1.172464288201073, -1.009063500939665, -0.9030743432460693]"
호텔 PJ,"['친절', '방문', '친구', '가격', '위치']","[1.5916891673583893, 1.3866494127592583, 1.0855803633088508, 0.9063544619849838, 0.8723927751356607]","['방음', '프론트', '청소', '위생', '보통']","[-1.354756112068645, -1.130641340098482, -1.0776278789606075, -0.9746423454197436, -0.9679056041330896]"
호텔 스카이파크3,"['친절', '우수', '침구', '비용', '출구']","[2.0790452261644226, 1.0407892791682969, 0.7778301017531096, 0.7353180433907965, 0.7228654799948235]","['양호', '모텔', '소리', '공간', '환기']","[-1.57887235719677, -1.4708588989624785, -1.4387909944244512, -0.9563845673664065, -0.8971272710218913]"
켄싱턴호텔 설악,"['친절', '케이블카', '코로나', '고풍', '계절']","[1.3699297963342683, 1.241466392781799, 1.174115509625393, 1.1063325421232697, 1.0865484937294436]","['속초', '먼지', '설악', '사람', '상태']","[-9.1085167176971, -2.207639284987144, -1.7777510080339378, -1.6442456325306536, -1.4375428199385392]"
롯데리조트 속초,"['바다', '일출', '위치', '시설', '산책']","[1.217097407909493, 1.0921922046955397, 1.0843829213919047, 1.0637466970734355, 1.0421212244976408]","['부족', '에어컨', '고객', '화장실', '응대']","[-1.2593215625391998, -0.9970605770929537, -0.9478728612039562, -0.9045934625619089, -0.8587502193768406]"
메종글래드제주,"['친절', '위치', '공항', '제주', '여행']","[1.733037940624539, 1.5033936448303722, 1.490566213581854, 1.1128156484734533, 1.039176870486352]","['후기', '개선', '성급', '경험', '불친절']","[-1.4181652842236656, -1.061657420768811, -1.0052077451002093, -0.9701367481594384, -0.8424247508729872]"
호텔 스카이파크,"['가족', '시내', '친절', '청결', '우수']","[0.9758540255239814, 0.9696941633818924, 0.8760773690671247, 0.7326932863805804, 0.6879817799090003]","['양호', '느낌', '냄새', '모텔', '보통']","[-1.4106270380509993, -1.1983239748612011, -1.075521455991157, -1.0237039988961911, -0.8667132922228032]"
메이더호텔,"['친절', '청결', '건물', '바다', '주차장']","[1.6916090661482666, 1.313016989545421, 0.995458708517921, 0.821590782303614, 0.7732407609488391]","['냄새', '위생', '모텔', '청소', '예약']","[-1.330364995598978, -1.191549568398418, -1.1165403174767985, -1.115015502385645, -1.1149273703769933]"
그라벨호텔,"['친절', '편의점', '바다', '루프', '가격']","[2.0154760910324345, 1.2521814713962471, 1.2118425175850749, 1.152886797796796, 1.1142212894515684]","['보통', '화장실', '관리', '위생', '불친절']","[-1.4573341453139517, -1.2342017862580348, -1.0245264769280675, -0.9999426455986773, -0.9843944347756265]"
신라스테이제주,"['제주', '친절', '감사', '분위기', '숙박']","[2.098655181692311, 1.924640783369295, 1.4786274049114907, 1.3250221412793233, 1.295649382891419]","['냄새', '머리카락', '벽지', '느낌', '밤새']","[-1.7630509641381655, -1.1806817048960205, -1.1615743926082343, -1.1399654244994617, -1.1048977513519822]"
베니키아호텔제주(구. 뉴베니키아호텔제주),"['친절', '여행', '방문', '애월', '조식']","[1.777036390722301, 1.5370939124157004, 1.5340941326406163, 1.3847679695168758, 1.3832479142319198]","['보통', '방음', '모텔', '수준', '양호']","[-1.3899720993558107, -1.240000581958314, -1.1605295424692281, -1.1387870855549342, -0.9896279083702632]"
호텔 시리우스,"['제주', '수영장', '마지막', '친절', '여행']","[0.9695509293006603, 0.8846720463240914, 0.5354877895366118, 0.41584841705999653, 0.361267076518257]","['방음', '전반', '보통', '벌레', '청소']","[-1.087008574890506, -0.6267261147647033, -0.6144498649356319, -0.561483639775319, -0.5566110551069288]"
다인리조트,"['조식', '바다', '추억', '위치', '우수']","[1.0211844271904467, 1.0120422598341414, 0.8902457934874519, 0.8492200585792543, 0.8430977406406962]","['냄새', '후기', '보통', '화장실', '낙후']","[-1.2683449537840275, -1.0237892505908532, -0.9496320636807596, -0.8352278025938019, -0.7074131577685246]"
수앤수리조트(구.수앤수가족호텔),"['제주', '감사', '수영장', '방문', '친절']","[1.036844058802198, 0.9761885445643667, 0.9037848516097304, 0.8402436965619294, 0.8327743718014731]","['청소', '모기', '위생', '냄새', '소리']","[-1.3509346622456577, -1.3407322043321375, -1.1855989194756085, -1.0495891669368427, -0.8847874503951806]"
파라다이스시티,"['방문', '인천', '수영장', '친구', '스로']","[0.8688591514546878, 0.8245703771824748, 0.7253219791709847, 0.7134433255050203, 0.7042347321095195]","['후기', '불친절', '안감', '장소', '바퀴']","[-1.273810188117641, -1.218771367598788, -0.9886120218801271, -0.9365167154667331, -0.7215327777207375]"
라까사호텔 광명,"['친절', '시설', '광명', '객실', '이케아']","[1.6815900031316073, 1.0559339663459804, 0.821599484746282, 0.7979455269872374, 0.783087248069752]","['보통', '상태', '모텔', '프론트', '후기']","[-1.73329343390805, -1.1107390063140823, -0.9727119083914719, -0.9382891908529738, -0.8471657667726448]"
아셈호텔,"['친절', '방문', '도시락', '감사', '아침']","[1.2614681962133363, 0.7171407651731783, 0.49100920554278205, 0.47412556265727623, 0.436153851114001]","['모텔', '침구', '주변', '무료', '에어컨']","[-1.6595046573538252, -1.2411707531006824, -1.0863928699281091, -0.7019323611487098, -0.6419790868156859]"
여주 썬밸리 호텔,"['친절', '여주', '경치', '예약', '화장실']","[1.0048659204107049, 0.9048529489164114, 0.5626465629729296, 0.4905850000800552, 0.43303308861688966]","['위치', '가본', '바닥', '전화', '조식']","[-0.8481361378647347, -0.659556978084691, -0.6465771980563108, -0.6288384105251535, -0.5806584432298797]"
베니키아 노블 호텔,"['친절', '우수', '방문', '인사동', '가격']","[1.2186246108453178, 0.8024979264228989, 0.6936634641392343, 0.6865064269552688, 0.6763100709996281]","['모텔', '위생', '청소', '머리카락', '침대']","[-1.5174661211116824, -1.0932315859213855, -0.9759134362379821, -0.9757435966311225, -0.9160215857434095]"
디아크리조트,"['수영장', '여수', '여행', '시설', '친절']","[0.35519478382543895, 0.34285505375657144, 0.24037476319095216, 0.22179847364942318, 0.21314178233869674]","['성수기', '주차장', '크기', '내부', '식당']","[-0.6028570985350333, -0.4868385969630406, -0.4751870021073559, -0.4294539859993623, -0.3669738171825825]"
라한호텔 전주,"['한옥마을', '전주', '여행', '수영장', '한옥']","[2.071891920130013, 1.9042914766690184, 1.2315108589937147, 1.147644164832869, 1.1303933131098143]","['화장실', '모텔', '부족', '시설', '불친절']","[-0.8591239310758751, -0.7640610778236118, -0.7461341380590583, -0.7214232148748029, -0.6847133051630776]"
베니키아아리울,"['친절', '청결', '여행', '후기', '숙박']","[1.282681091811153, 0.8881180500015279, 0.7126039336435883, 0.534124279643411, 0.5175153616988255]","['시내', '위치', '모텔', '편의', '공장']","[-1.043235074214199, -1.037244756141778, -0.8376037707147233, -0.7301412005968488, -0.6871193802138122]"
라마다제주시티,"['친절', '시설', '방문', '감사', '한라산']","[1.5557023414665938, 1.069546436270764, 1.0492623142931603, 1.0401627132862243, 0.9071565124792987]","['냄새', '모텔', '환기', '체크아웃', '장점']","[-1.1680312450020909, -1.106610530689106, -0.9864983940040969, -0.9515716139459164, -0.9284830104933572]"
라마다제주함덕,"['친절', '제주', '시설', '감사', '함덕']","[2.189781080503092, 1.2994399393039078, 1.290515092767401, 0.8931380103050667, 0.8882537456914381]","['냄새', '문제', '불친절', '관리', '머리카락']","[-2.129938489195009, -1.5416063488384029, -1.5402358850709466, -1.4441516534906123, -1.3542445930668354]"
켄트호텔 광안리 바이 켄싱턴,"['와인', '파티', '청결', '침구', '해수욕장']","[1.5693619985552782, 1.419509314834171, 1.211858616593801, 1.1779829266424906, 1.1066661000645]","['켄트', '모텔', '애슐리', '라운지', '욕실']","[-4.544403875705169, -2.205045738860655, -1.925994674160736, -1.572240182695294, -1.5415826199841696]"
코트야드 메리어트 남대문호텔,"['친절', '남산', '방문', '감사', '가족']","[1.242134240684249, 0.9276782226350544, 0.6144087781825307, 0.5570309641935675, 0.499920975525737]","['주차장', '출장', '방음', '주차', '후기']","[-1.44703983872188, -1.0299615295123503, -0.9490869818238862, -0.9042097721822868, -0.8210290193368776]"
호텔 더 디자이너스 서울역,"['친절', '감사', '편의점', '조식', '지하철']","[1.700962246127382, 1.337634165508573, 1.021503938829546, 1.0164664884349754, 1.003759362437001]","['먼지', '위생', '청소', '머리카락', '모텔']","[-2.4165379271244376, -2.1645570690044433, -2.016217574616916, -1.3398324722573125, -1.3160982467360578]"
호텔 포코(POCO),"['친절', '접근성', '카페', '성수역', '성수']","[1.3611227254315603, 0.7957591736319559, 0.6581376059170531, 0.5846884718397821, 0.5485114029902537]","['모텔', '가격', '방음', '침대', '수압']","[-1.7333098454034854, -1.1554018935074561, -1.0538216112037369, -0.9263830781022795, -0.9022709785245304]"
동원아이엔씨 스위스그랜드호텔,"['방문', '수영장', '친절', '분위기', '사진']","[1.3321630369548085, 1.098586044765143, 0.9341567696560651, 0.9323887133689645, 0.92236674401104]","['와이파이', '먼지', '불친절', '식당', '조식']","[-1.6489948570898687, -1.4883560625607848, -1.4571586431998693, -1.1623165363340462, -1.1047428716037766]"
롯데시티호텔 마포,"['친절', '시설', '연결', '수영장', '공덕역']","[1.6071903584469096, 1.3485930459658957, 1.100752521073935, 1.0912035614802231, 1.0516072768867846]","['보통', '기본', '변기', '전반', '전망']","[-1.3108436486320947, -1.09368457428465, -0.8364541185235919, -0.7897304781933216, -0.7543967539473905]"
아만티호텔,"['주차', '홍대', '친구', '서울', '컨디션']","[1.129484811237951, 1.1205122697690815, 1.0119248926441535, 0.9537339763852456, 0.9225116833547123]","['보통', '모텔', '소음', '양호', '문제']","[-1.6269392881788607, -1.5657533989518901, -1.5218945175175749, -1.1450475599311989, -0.9814958553795533]"
켄싱턴호텔 여의도,"['친절', '키즈', '구성', '퀄리티', '조식']","[1.8465650396218232, 1.4694485201484564, 1.0728590444997588, 1.0549293781694733, 1.047280682434597]","['여의도', '여의', '모텔', '먼지', '렉싱턴']","[-3.8245050320215115, -2.7399083069415244, -2.328201528675883, -2.0810452847920424, -1.843584114761991]"
신트라(SINTRA) 호텔,"['시설', '친절', '신림', '가격', '방문']","[0.6537909032711323, 0.5875408644225856, 0.5001779207999749, 0.36581318736874086, 0.31053069211950934]","['연결', '예약', '편의점', '머리카락', '에어컨']","[-0.996706750389958, -0.9297920521642618, -0.6797120444238407, -0.6451101926944641, -0.6197613217199611]"
신라스테이 서초,"['침구', '친절', '마음', '주변', '숙박']","[1.8830640972663553, 1.7685343239651035, 1.067526490771946, 1.030023979670475, 1.0208250006553983]","['청소', '태도', '불친절', '가운', '머리카락']","[-2.232860355258961, -1.5411510543909008, -1.460241430762637, -1.2854204743571174, -1.2006190953297762]"
산청한방가족호텔,"['산책', '침구', '가족', '예약', '아침']","[0.29868841310827504, 0.2861645401075278, 0.27544316888127085, 0.27419369396717413, 0.251140080899944]","['안내', '고장', '에어컨', '양호', '음식']","[-0.5665874312640917, -0.48676764506191567, -0.48676764506191567, -0.480440538400729, -0.4566135732117912]"
베니키아 양산호텔,"['친절', '여행', '침구', '컨디션', '직원']","[1.3476483162150397, 0.6561769421786335, 0.5116519907408628, 0.4609269351534417, 0.43410387577746734]","['수준', '청소', '성급', '보통', '숙박']","[-1.088205686800806, -0.8972909750229395, -0.8329146757886893, -0.8023655509767325, -0.6806390757322452]"
호텔 아리나,"['친절', '침구', '온천', '직원', '밀양']","[0.5518782662042238, 0.3952386661937388, 0.36186264751128205, 0.3379520180579059, 0.30192877658125483]","['객실', '청소', '성급', '체크', '냄새']","[-0.8790410167512791, -0.7605099231909729, -0.6371308100070657, -0.5870296766285484, -0.5784158211146614]"
아이스퀘어호텔,"['친절', '출장', '주차장', '베개', '기분']","[1.4349106480557803, 0.7406236754925696, 0.6710103329975745, 0.6537500210872247, 0.6523003291636024]","['김해', '하루', '가격', '건물', '오픈']","[-2.8319388948262505, -1.6979158406499193, -1.3532614651084351, -1.3525954347961555, -1.3276784980970837]"
엠버리조트,"['우수', '제주', '친절', '가격', '강추']","[0.4671284422666345, 0.42163143277473963, 0.33784247782472054, 0.3144070690935096, 0.2822617123987249]","['중국', '동반', '한라산', '중턱', '냉장고']","[-0.8198383731324624, -0.4890389107249147, -0.36300449797684653, -0.3565077900103612, -0.35217750567173595]"
노형호텔,"['친절', '위치', '출장', '제주', '응대']","[1.049094063382443, 0.7642427671226271, 0.4559428770992261, 0.4189086752075008, 0.38716109010792005]","['공항', '먼지', '금액', '전화', '청소']","[-0.8329348538494551, -0.8108460094600118, -0.6983883750246964, -0.5928541445984914, -0.5771944544129578]"
스카이베이경포,"['친절', '인피니티', '강릉', '수영장', '바다']","[2.1226052164789975, 2.017159933070501, 1.7375259810739685, 1.6227922844918352, 1.61454659947242]","['먼지', '기둥', '사람', '수준', '부족']","[-1.0084679174337654, -0.8976317050735886, -0.8581271303238194, -0.8009680737146313, -0.7974871419888452]"
밀리오레 서울 명동,"['남산', '친절', '감사', '우수', '접근성']","[1.6710252176313563, 1.2283168492289183, 1.1782601735198193, 1.0793945190349357, 0.938746519049951]","['양호', '보통', '불친절', '냄새', '전화']","[-1.5297744404364881, -1.31747477403271, -1.1916884433374926, -0.9842899939474564, -0.902904988972965]"
라마다호텔앤스위트서울남대문,"['조식', '가격', '서울', '부분', '필요']","[1.1414815269477148, 0.6253315804245455, 0.6011043218956948, 0.5609134029334438, 0.4881663894718627]","['청소', '냄새', '상태', '먼지', '바닥']","[-1.2431898604219007, -0.9677033233151526, -0.9387133692010422, -0.9317807247276559, -0.924478460743835]"
청주 제이원,"['친절', '청주', '여행', '주변', '방문']","[1.1084555093813504, 0.9381659065216893, 0.6217624323630967, 0.6080534041706371, 0.6024139951714255]","['때문', '침대', '전화', '위치', '투숙객']","[-1.0306147439716244, -0.9894280191768635, -0.720034956073074, -0.7165932701107544, -0.6636772711784493]"
엘시티 레지던스,"['친절', '가족', '여행', '방문', '바다']","[1.4890485047742634, 1.4794419816538715, 1.2047382755857876, 1.1373991339432692, 0.9052500614551615]","['청소', '교육', '출입', '불친절', '시스템']","[-1.794666146234721, -1.359691920623386, -1.268802388400577, -1.240995800860065, -1.1973824482033695]"
라마다 앙코르 해운대,"['위치', '해운대역', '여행', '접근성', '침구']","[1.4805735753049267, 1.4653998558087502, 1.401759734876055, 1.3573291132658585, 1.3536646294166523]","['대기', '청소', '체크', '사람', '먼지']","[-1.3886953819323435, -1.2080844371853647, -1.126110329529053, -1.0963159640244713, -1.0769741317038761]"
ACC DESIGN호텔,"['조식', '친절', '광주', '아침', '컨디션']","[2.0809411352983833, 1.5275571661742307, 0.988598067519616, 0.8781435405584678, 0.8249622977524018]","['모텔', '보통', '소리', '새벽', '난방']","[-1.9783033741059242, -1.645667476607672, -1.5849698529298044, -1.2482577949720677, -1.2075875708798858]"
호텔수성,"['친절', '인피니티', '수영장', '온천', '대구']","[1.5749310076606473, 1.091175169578246, 0.9607142088974104, 0.788941659288878, 0.721822201958689]","['전화', '서비스', '데스크', '추가', '체크']","[-1.2112596708700931, -0.9926268735268774, -0.9484055931119555, -0.9282350824967852, -0.8395748209819021]"
힐튼 경주,"['친절', '조식', '여행', '유레카', '업그레이드']","[1.613117914231893, 1.5466208271045876, 1.4685170175985367, 1.1669806022964577, 1.1075865094576551]","['보통', '기대', '먼지', '태도', '불친절']","[-1.477525437489843, -0.9661039609096798, -0.9650037376958159, -0.8387392457233801, -0.819021486521233]"
라한셀렉트 경주,"['친절', '호수', '조식', '방문', '위치']","[1.8090557173456843, 1.0924394054881426, 1.0020856225845038, 0.9066881565010728, 0.7410535648412302]","['성급', '느낌', '사람', '노후', '담배']","[-1.958442090422872, -1.2377797033398235, -1.2235374413749067, -1.1309591507269448, -1.0004319302665532]"
코모도호텔 경주,"['월드', '코로나', '친절', '관리', '우수']","[2.5727167924045204, 1.8247308135122622, 1.5903893328041456, 1.4173273293010802, 1.2426630296949386]","['파크', '하루', '패키지', '인터', '온돌']","[-2.508181544006267, -2.4868623067927076, -2.3605113828004534, -2.3334338223800875, -2.2546744801290846]"
아리수경주호텔,"['시설', '친절', '샌드위치', '청결', '객실']","[1.4766675001243919, 1.2846915830085581, 0.9791644192095053, 0.9647674708076738, 0.8848426336339145]","['모텔', '방음', '양호', '글쎄', '사용']","[-1.0124235207254237, -0.9106084010443735, -0.8993268305207595, -0.7648919401165689, -0.6969194686492083]"
삼정관광호텔,"['친절', '감사', '시설', '서비스', '워치']","[1.5402694103691243, 0.9811634656309386, 0.7326883661185166, 0.6792658042610178, 0.6607747644077712]","['양호', '칫솔', '욕실', '모텔', '치약']","[-1.2502638618791186, -0.9319287960063408, -0.9298547679416626, -0.9215514287616162, -0.7741869128580015]"
노보텔앰배서더강남,"['친절', '서비스', '컨디션', '감사', '노보']","[1.4150742784081103, 1.0140735747863177, 0.8499786949183046, 0.8016777874945653, 0.7132791904257535]","['상태', '냄새', '불친절', '최저', '불만족']","[-0.9865199831197595, -0.901035656323621, -0.7140026269893285, -0.6466978437022413, -0.6431049836890191]"
호텔 신라스테이 역삼,"['친절', '조식', '어메니티', '방문', '강남']","[2.0205826290696467, 1.784932090369033, 1.5532694317705722, 1.4026973749058582, 1.1844452177765354]","['먼지', '체크', '머리카락', '냄새', '상태']","[-2.151808195200261, -1.634178976599991, -1.603430578871238, -1.5906149513116166, -1.3989364948965843]"
호텔 카푸치노,"['침대', '우수', '친구', '친절', '객실']","[1.3666331764948767, 1.0519215025031983, 1.0492010415875155, 0.9454801666007463, 0.7613243421166966]","['보통', '모텔', '소리', '냄새', '불친절']","[-1.291454188393834, -0.9645632472965774, -0.8435447708074124, -0.8217671331520089, -0.7830771932950883]"
호텔 글래드 강남 코엑스센터,"['친절', '성역', '가격', '강남', '코엑스']","[1.6788413021211237, 1.3235968772576812, 1.074458859011373, 1.0313408940007447, 0.9904155132338995]","['모텔', '불친절', '보통', '방음', '나머지']","[-1.739553505817975, -1.2466515166615697, -1.1833183717604017, -1.0875209606613478, -1.0746935337041346]"
