CL_NM,TRRSRT_NM,ADDR,TEL_NO,TOT_ENTRN_NMPR_CO,SETLE_PRICE,BASE_YM
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,5983,0,202207
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,6929,0,202208
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,4491,0,202209
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,5373,1000,202210
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,6434,0,202211
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,6659,0,202212
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1600,860400,202207
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1624,716300,202208
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1194,0,202209
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1689,116800,202210
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1475,683400,202211
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1240,680400,202212
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,1464,1916000,202207
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,2041,2637500,202208
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,1035,1381500,202209
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,1787,2093000,202210
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,2928,2116000,202211
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,1449,1874500,202212
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,2151,615700,202207
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,1783,548300,202208
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,1773,517600,202209
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,3158,713200,202210
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,2518,591450,202211
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,1870,559850,202212
공연전시,소암기념관,제주 서귀포시 소암로 15,0647603511,380,0,202212
공연전시,이중섭미술관,제주 서귀포시 이중섭로 27-3,0647603567,16160,13589650,202207
공연전시,이중섭미술관,제주 서귀포시 이중섭로 27-3,0647603567,14631,14738250,202208
공연전시,이중섭미술관,제주 서귀포시 이중섭로 27-3,0647603567,9414,8547800,202209
공연전시,이중섭미술관,제주 서귀포시 이중섭로 27-3,0647603567,16344,13898300,202210
공연전시,이중섭미술관,제주 서귀포시 이중섭로 27-3,0647603567,11829,8192700,202211
공연전시,이중섭미술관,제주 서귀포시 이중섭로 27-3,0647603567,10627,10864200,202212
자연,대포주상절리,제주 서귀포시 이어도로 36-24,0647381521,70366,89991000,202207
자연,대포주상절리,제주 서귀포시 이어도로 36-24,0647381521,76590,105755100,202208
자연,대포주상절리,제주 서귀포시 이어도로 36-24,0647381521,82947,106275200,202209
자연,대포주상절리,제주 서귀포시 이어도로 36-24,0647381521,117152,157373700,202210
자연,대포주상절리,제주 서귀포시 이어도로 36-24,0647381521,84452,110491800,202211
자연,대포주상절리,제주 서귀포시 이어도로 36-24,0647381521,2,0,202212
자연,만장굴,제주 제주시 구좌읍 만장굴길 182,0647107903,73635,0,202207
자연,만장굴,제주 제주시 구좌읍 만장굴길 182,0647107903,87886,0,202208
자연,만장굴,제주 제주시 구좌읍 만장굴길 182,0647107903,45453,0,202209
자연,만장굴,제주 제주시 구좌읍 만장굴길 182,0647107903,55704,0,202210
자연,만장굴,제주 제주시 구좌읍 만장굴길 182,0647107903,39206,0,202211
자연,만장굴,제주 제주시 구좌읍 만장굴길 182,0647107903,34731,0,202212
자연,모구리야영장,제주 서귀포시 성산읍 서성일로 260,0647603408,900,3168500,202207
자연,모구리야영장,제주 서귀포시 성산읍 서성일로 260,0647603408,1043,4543600,202208
자연,모구리야영장,제주 서귀포시 성산읍 서성일로 260,0647603408,1154,3439060,202209
자연,모구리야영장,제주 서귀포시 성산읍 서성일로 260,0647603408,2441,7150100,202210
자연,모구리야영장,제주 서귀포시 성산읍 서성일로 260,0647603408,833,2474900,202211
자연,모구리야영장,제주 서귀포시 성산읍 서성일로 260,0647603408,469,1557300,202212
자연,비자림,제주 제주시 구좌읍 비자숲길 55,0647107912,75839,0,202207
자연,비자림,제주 제주시 구좌읍 비자숲길 55,0647107912,77085,0,202208
자연,비자림,제주 제주시 구좌읍 비자숲길 55,0647107912,71670,0,202209
자연,비자림,제주 제주시 구좌읍 비자숲길 55,0647107912,101090,0,202210
자연,비자림,제주 제주시 구좌읍 비자숲길 55,0647107912,72386,0,202211
자연,비자림,제주 제주시 구좌읍 비자숲길 55,0647107912,40783,0,202212
자연,산방산암벽식물지대,제주 서귀포시 안덕면 사계리 산16,0647942940,5522,4317750,202207
자연,산방산암벽식물지대,제주 서귀포시 안덕면 사계리 산16,0647942940,4636,3443900,202208
