CL_NM,TRRSRT_NM,ADDR,TEL_NO,TOT_ENTRN_NMPR_CO,SETLE_PRICE,BASE_YM
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,1523,0.00000,202307
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,3105,0.00000,202308
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,4486,0.00000,202309
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,4959,0.00000,202310
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,7926,0.00000,202311
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,7525,0.00000,202312
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1825,597200.00000,202307
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,2081,919250.00000,202308
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1588,51250.00000,202309
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1210,506700.00000,202310
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,942,289350.00000,202311
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1132,543700.00000,202312
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,19,0.00000,202307
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,1598,2109000.00000,202308
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,2241,1209500.00000,202309
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,1410,1552000.00000,202310
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,708,1010500.00000,202311
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,598,813000.00000,202312
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,8282,0.00000,202307
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,7677,0.00000,202308
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,8108,0.00000,202309
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,10752,0.00000,202311
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,9237,0.00000,202312
공연전시,소암기념관,제주 서귀포시 소암로 15,0647603511,674,0.00000,202307
