CL_NM,TRRSRT_NM,ADDR,TEL_NO,TOT_ENTRN_NMPR_CO,SETLE_PRICE,BASE_YM
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,5998,0,202301
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,5314,0,202302
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,4491,0,202303
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,5137,0,202304
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,5789,0,202305
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,4671,0,202306
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1506,685750,202301
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1219,567800,202302
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1297,477150,202303
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1864,631000,202304
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1999,781550,202305
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1691,633050,202306
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,1660,2170500,202301
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,2215,3017500,202302
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,1040,1305000,202303
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,1692,521200,202301
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,1900,523650,202302
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,2247,595450,202303
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,2493,708400,202304
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,6724,191000,202305
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,8863,0,202306
공연전시,소암기념관,제주 서귀포시 소암로 15,0647603511,601,0,202301
공연전시,소암기념관,제주 서귀포시 소암로 15,0647603511,610,0,202302
공연전시,소암기념관,제주 서귀포시 소암로 15,0647603511,728,0,202303
공연전시,소암기념관,제주 서귀포시 소암로 15,0647603511,706,0,202304
공연전시,소암기념관,제주 서귀포시 소암로 15,0647603511,649,0,202305
공연전시,소암기념관,제주 서귀포시 소암로 15,0647603511,741,0,202306
공연전시,이중섭미술관,제주 서귀포시 이중섭로 27-3,0647603567,12724,12535750,202301
공연전시,이중섭미술관,제주 서귀포시 이중섭로 27-3,0647603567,14272,10343350,202302
공연전시,이중섭미술관,제주 서귀포시 이중섭로 27-3,0647603567,11987,7710600,202303
공연전시,이중섭미술관,제주 서귀포시 이중섭로 27-3,0647603567,11168,7714950,202304
공연전시,이중섭미술관,제주 서귀포시 이중섭로 27-3,0647603567,12233,10541950,202305
공연전시,이중섭미술관,제주 서귀포시 이중섭로 27-3,0647603567,9292,8825650,202306
자연,대포주상절리,제주 서귀포시 이어도로 36-24,0647381521,2,0,202302
자연,만장굴,제주 제주시 구좌읍 만장굴길 182,0647107903,49125,0,202306
자연,모구리야영장,제주 서귀포시 성산읍 서성일로 260,0647603408,316,1111000,202301
자연,모구리야영장,제주 서귀포시 성산읍 서성일로 260,0647603408,379,1108900,202302
자연,모구리야영장,제주 서귀포시 성산읍 서성일로 260,0647603408,831,2433200,202303
자연,모구리야영장,제주 서귀포시 성산읍 서성일로 260,0647603408,1075,3137400,202304
자연,모구리야영장,제주 서귀포시 성산읍 서성일로 260,0647603408,962,2958700,202305
자연,비자림,제주 제주시 구좌읍 비자숲길 55,0647107912,61157,0,202306
자연,산방산암벽식물지대,제주 서귀포시 안덕면 사계리 산16,0647942940,8194,5764400,202301
자연,산방산암벽식물지대,제주 서귀포시 안덕면 사계리 산16,0647942940,8135,6089000,202302
자연,산방산암벽식물지대,제주 서귀포시 안덕면 사계리 산16,0647942940,10007,7785950,202303
자연,산방산암벽식물지대,제주 서귀포시 안덕면 사계리 산16,0647942940,10250,8242650,202304
자연,산방산암벽식물지대,제주 서귀포시 안덕면 사계리 산16,0647942940,8942,7266000,202305
자연,산방산암벽식물지대,제주 서귀포시 안덕면 사계리 산16,0647942940,8355,6152250,202306
자연,서귀포치유의숲,제주 서귀포시 산록남로 2271,0647603067,5488,3365400,202301
자연,서귀포치유의숲,제주 서귀포시 산록남로 2271,0647603067,7648,5020400,202302
자연,서귀포치유의숲,제주 서귀포시 산록남로 2271,0647603067,9321,6074000,202303
자연,서귀포치유의숲,제주 서귀포시 산록남로 2271,0647603067,11752,11634400,202304
자연,서귀포치유의숲,제주 서귀포시 산록남로 2271,0647603067,11070,13033800,202305
자연,서귀포치유의숲,제주 서귀포시 산록남로 2271,0647603067,10645,10394600,202306
자연,성산일출봉,제주 서귀포시 성산읍 성산리 1,0647830959,71192,0,202306
자연,용머리해안,제주 서귀포시 안덕면 사계리 112-3,0647606321,29807,44266800,202301
자연,용머리해안,제주 서귀포시 안덕면 사계리 112-3,0647606321,44169,62197900,202302
자연,용머리해안,제주 서귀포시 안덕면 사계리 112-3,0647606321,55471,86540050,202303
자연,용머리해안,제주 서귀포시 안덕면 사계리 112-3,0647606321,35873,54794700,202304
자연,용머리해안,제주 서귀포시 안덕면 사계리 112-3,0647606321,56328,76048150,202305
자연,용머리해안,제주 서귀포시 안덕면 사계리 112-3,0647606321,24106,35537750,202306
자연,정방폭포,제주 서귀포시 칠십리로214번길 37,0647331530,44180,62903300,202301
자연,정방폭포,제주 서귀포시 칠십리로214번길 37,0647331530,52746,72791200,202302
자연,정방폭포,제주 서귀포시 칠십리로214번길 37,0647331530,54208,77712900,202303
자연,정방폭포,제주 서귀포시 칠십리로214번길 37,0647331530,64556,89184000,202304
자연,정방폭포,제주 서귀포시 칠십리로214번길 37,0647331530,66270,85861900,202305
자연,정방폭포,제주 서귀포시 칠십리로214번길 37,0647331530,60327,84029800,202306
자연,천제연폭포,제주 서귀포시 천제연로 132 천제연폭포관리소,0647606331,23358,37709950,202301
자연,천제연폭포,제주 서귀포시 천제연로 132 천제연폭포관리소,0647606331,29841,47540350,202302
자연,천제연폭포,제주 서귀포시 천제연로 132 천제연폭포관리소,0647606331,38917,59648575,202303
자연,천제연폭포,제주 서귀포시 천제연로 132 천제연폭포관리소,0647606331,45706,73210800,202304
자연,천제연폭포,제주 서귀포시 천제연로 132 천제연폭포관리소,0647606331,45638,73838950,202305
자연,천제연폭포,제주 서귀포시 천제연로 132 천제연폭포관리소,0647606331,39612,66904000,202306
